абажур|lampshade
ассигнования на рекламу|advertising appropriations
ассортимент продукта|product mix
ассортимент товарный|assortment of goods
ассортимент|assortment
ассоциация нанимателей|employers' association
ассоциация, объединение|association
астра|aster
асфиксия, удушье|asphyxiation
Атлантический океан|Atlantic Ocean
атлантический|Atlantic
атлас|satin
атмосфера|atmosphere
атмосферный|atmospheric
атом|atom
атомный|atomic
АТС|automatic telephone exchange
аттестация|attestation
аудио кассета|audio cassette
аудитор, ревизор|auditor
аудитор|independent accountant
аукцион|auction
аукцион|vendue
аукционные правила|auction rules
аутсайдер|outsider
афиша|placard
африканец, африканский|African
аффект|hot blood
аффидевит , подтверждающий вручение документа|affidavit of service
аэробика|aerobics
аэропорт|airport
бабочка|butterfly
бабушка|grandmother
багаж (ам.)|baggage
багаж (бр.)|luggage
багажная бирка|baggage tag
багажная бирка|luggage claim check
багажное отделение|luggage compartment
багажное отделение|luggage department
багажный вагон|luggage van
багет|baguette
база данных|database
база данных|date base
база|benchmark
базар|bazaar
базовая система ввода/вывода|BIOS (Basic Input/Output System)
базовая цена|base price
бакалейно-гастрономический магазин|grocery
бакалея, гастроном|grocery store
баклажан|eggplant
баклажаны|eggplants
баланс бухгалтерский|balance sheet
баланс самостоятельный|independent balance
балансовая стоимость|book value
балансовый счет|balance-sheet
балет|ballet
балкон|balcony
баллистический|ballistic
бампер|bumper
банальность|platitude
банальный, обычный|commonplace
банан|banana
банановое мороженое|banana ice cream
бананы (от banana)|bananas
банда преступников|criminal gang
банк и корреспонденты|corresponding banks
банк информации|data bank
Банк международных расчетов|Bank for International Settlements (BIS)
банк национальный|national bank
банк смешанный|bank with mixed capital
банк торговый|merchant bank
банк центральный|central bank
банк экспортно-импортный|eximbank
банк эмиссионный|bank of issue
банк, мель, берег|bank
банк-гарант, гарант, поручитель|guarantor
банкет|banquet
банкир|banker
банк-кредитор|creditor bank
банкнота, банковый билет|not(PCL3)He
банкнота|bank note
банковская интервенция|banking support
банковская комиссия|bank commission
банковская сделка|banking transaction
банковская система|banking system
банковская ссуда|bank accommodation
банковская ссуда|bank loan
банковская тратта|bankers draft
банковские расходы|banking expenses
банковский депозит, вклад в банке|bank deposit
банковский клиринг|bank clearing
банковский отчет|bank return
банковское дело|banking
банковское поручение|banker's instructions
банкрот|bankrupt
банкротство|bankruptcy
бар, брусок, препятствовать|bar
барак, казарма|barrack
баран|ram
баранина|mutton
барометр|barometer
баронесса|baroness
баррель|barrel
баррикада|barricade
барристер|member of circuit
барсук|badger
бартер, бартерный|barter
бартерная сделка|barter agreement
барьер|barrier
баскетбол|basketball
баснословный|fabulous
бассейн|swimming-pool
батарея|battery
бахрома, край|fringe
башня|tower
бег|jogging
беглый преступник|fugitive offender
бегство из под стражи|escape by persons in custody
бегство, побег, спасение, бежать|escape
бегун|runner
бедность|poverty
бедро|thigh
бедственный|disastrous
бедствие, несчастье|disaster
бедствие|calamity
бедствие|distress
бежал из тюрьмы|crushed out
бежал, убежавший (от run)|ran
бежать из тюрьмы|crush out
бежать, двигаться|run, ran
бежать|flee
бежать|run, ran, run
без дивиденда|ex div
без капитализации|ex cap
без привилегий|ex all
без свинца|unleaded
без ущерба|without prejudice
безалкогольное пиво|non-alcoholic beer
безалкогольный напиток|soft drink
безвоздмездный договор|contract of beneficence
безвозмездно|not for value
бездействие власти|administrative dereliction
бездельник, бродяга|bum
безнаказанное преступление|untrammelled crime
безнаказанность|impunity
безобразный|ugly
безоговорочно|without reserve
безопасно|safely
безопасное капиталовложение|blue-chip investment
безопасность, сохранность|safety
безоружный|unarmed
безответственность|irresponsibility
безответственный|irresponsible
безотзывный|irrevocable
безработица|unemployment
безработный|jobless
безработный|unemployed
безразличие|emotional neglect
безразличие|indifference
безразличный|indifferent
безубыточный|break-even
безумие|frenzy
безумный|crazy
безупречный|faultless
безусловное право собственности|fee-simple
безусловный акцепт|general acceptance
безусловный|unconditional
бейсбол|baseball
бейсмен|baseman
бекон|bacon
белая лилия|easter lily
белка|squirrel
беловоротничковая преступность|white-colar crime
белое вино|while wine
белое вино|white wine
белуга|beluga
белый хлеб|white bread
белый|white
белье|linen
бельэтаж|dress-circle
Бен|Ben
бензин (бр.)|petrol
берег, побережье|coast
берег|shore
береговая охрана|preventive service
бережливость|thrift
береза|birch
беременная женщина|expectant mother
берет|beret
берс-нот|berth-note
беседа, болтовня|chat
беседа|talking
бесконечно|infinitely
бесконечный, вечный, бессрочный|perpetual
бесконечный|endless
беспересадочный перелет|non-stop flight
бесплатно|free of charge
бесплатный звонок|toll-free call
беспокоить|disquiet
беспокоить|harass
беспокоиться|worry
беспокойство (от disturb)|disturbing
беспокойство|anxiety
беспокойство|harassment
беспокойство|unrest
бесполезный|useless
беспорядок, путаница|mess
беспорядок|disorder
беспосадочный|non-stop
беспошлинная зона|duty free zone
беспошлинная торговля|duty free shopping
беспошлинно|free of duty
беспошлинный ввоз|free entry
беспошлинный|custom free
беспошлинный|duty free
беспошлинный|duty-free
беспрецедентный|unprecedented
беспристрастное расследование|impartial investigation
беспристрастность, справедливость|equity
беспристрастный|unbiased
беспроцентная ссуда|advance free of interest
беспроцентный долг|barren money
беспроцентный долг|passive debt
бессильный|impotent
бессмысленный|meaningless
бессрочная аренда|estate at will
бессрочное соглашение|agreement of unlimited duration
бессрочное товарищество|partnership at will
бессрочный вклад|sight deposit
бестселлер|best-seller
бесхозяйность|ownerlessness
бесхозяйственно содержимое имущество|mismanaged property
бесчеловечный|inhuman
бесчисленный|countless
бесчисленный|innumerable
бета-частица, бета|beta
бетонировать, сгущать, конкретный|concrete
библиотека|library
библиотекарь|librarian
библиотеки|libraries
библия|Bible
бизнес большой|big business
бизнесмены (от businessman)|businessmen
билет в оба конца (ам.)|round-trip ticket
билет в оба конца (бр.)|return ticket
билет в один конец (ам.)|one-way ticket
билет в один конец (бр.)|single ticket
билет в одном направлении|a single ticket
билет первого класса|a first-class ticket
билет туда и обратно|a return ticket
билетная касса|booking office
билеты (от ticket)|tickets
биллион, миллиард|billion
бинтовать|bandage
биология|biology
биполярный|bipolar
биржа официальная|recognized exchange
биржа товарная|commodity exchange
биржа труда|employment exchange
биржевой арбитраж|arbitrage business
биржевой брокер|stockbroker
биржевые сделки с премией|option dealing
бирка, ярлык|tag
битва, борьба, сражаться|battle
биточки|meat balls
биты|bits
битый|beaten
бить|beat, beat, beaten
бифштекс|beefsteak
бифштекс|beef-steak
бифштекс|steak
благодарность, благодарить|thank
благодарность|gratitude
благодарный|grateful
благодарный|thankful
благодушие, удовлетворенность|complacency
благожелательный нейтралитет|benevolent neutrality
благоприобретенное имущество|nonancestral estate
благоприятно|favourably
благоприятный|favourable
благородный|noble
благословлять|bless
благосостояние|welfare
благотворительный, милосердный|charitable
бланковая передаточная надпись|blank endorsement
бланковый аккредитив|blank letter of credit
бланковый акцепт|blank acceptance
бледный|pale
блеск, блестеть|glitter
блестящий, гладкий, лоснящийся, глянцевитый|glossy
блестящий|brilliant
ближайшая автобусная остановка|the nearest bus stop
ближайший (от near)|nearest
ближайший родственник|next-of-kin
ближайший, самый короткий (от short)|shortest
близко, тесно, внимательно|closely
блин|pancake
блины|pancakes
блок питания|power supplies
блок сигарет|carton of cigarettes
блок, квартал, преграда|block
блокада|blockade
блокированный счет|blocked account
блокированный счет|frozen account
Блокировка вызова|Call Barring
Блокировка телефона|Phone Lock
блок-полис|blanket policy
блондин|blonde
блоха|flea
блузка|blouse
блюда (от course)|courses
блюдо, кушанье|dish
блюдце|saucer
бог, божество|god
богатство|wealth
богатый|rich
бодрый, веселый|cheerful
боец, борец|fighter
Боже мой!|good heavens!
бой быков|bullfight
бой, борьба|combat
бой, сражение|fighting
бойкот выборов|ballot strike
бойкот, бойкотировать|boycott
бойкотировал|sat out
бойкотировать|sit out
бок о бок|alongside
бокс|boxing
более дешевая версия дорогой модели|economy model
более новый|newer
более плотный|denser
более старый, старше|older
более широкий, шире|wider
болеет, причиняет боль, повреждает (от hurt)|hurts
болезненный|painful
болезнь|disease
болезнь|illness
болезнь|sickness
болельщик|sportsfan
болеть|be ill
боли, страдания (от pain)|pains
болтунья|chatterbox
боль в желудке|stomach-ache
боль в ухе|earache
боль, страдание|pain
боль|ache
больничный листок|medical certificate
больной|ailing
больной|sick
большая степень интеграции, БИС|LSI(large scale integration)
больше не, уже не|no longer
больше, упорнее (от hard)|harder
больше|bigger
больше|upwards
большегрузный|large-capacity
большинство|majority
большой нож мясника|cleaver
большой пикап|station wagon
большой спрос на|rush for
большой, крупный, значительный|big
большую, больше|greater
бомба, бомбить|bomb
бомбардировка|bombardment
бомбардировка|bombing
бомбардировщик|bomber
бонификация|price bonification
бонусная скидка|bonus rebate
борец за права человека|human rights campaigner
борзая|greyhound
боров, кабан|boar
борода|beard
бородатый|bearded
бороться, соперничать|contend
бороться|fight, fought, fought
бортовой коносамент|on board bill of lading
борщ|beetroot and cabbage soup
борьба за рынки|struggle for markets
борьба с контрабандой|prevention of smuggling
борьба с преступностью|crime control
борьба|struggle
босоножки|sandals
ботинки, сапоги (от boot)|boots
ботинок, сапог|boot
бояться|be afraid
бракоразводный процесс|divorce suit
брал в долг, взятый в долг (от borrow)|borrowed
браслет|bracelet
брат|brother
братский|fraternal
брать на поруки|bail out
брать под стражу|detain in custody
брать, взять|take, took, taken
брачная дееспособность|legal age of consent
брачная правоспособность|marriageability
брачное свидетельство|certificate for marriage
брачносемейное право|matrimonial law
брачный возраст|age of consent
брешь|gap
бригада|brigade
бригада|gang
Британия|Britain
Британская медицинская ассоциация|BMA
Британская радиовещательная корпорация|BBC
британский|British
бритва|razor
бритва|shaver
бритье|shaving
бриться|shave
бриться|shave, shaved, shaven
бровь|eyebrow
бродяга|tramp
брокер по покупке|buying broker
брокер судовой|shipbroker
брокер фрахтовый|chartering broker
брокер, маклер|broker
брокерская|broker's
брокколи|broccoli
бронзовый|bronze
бронирование гостиницы|hotel reservation
бросать|throw, threw, thrown
бросающий жребий|casting lots
бросить якорь|to drop anchor
бросить|give up
бросок, бросать|throw
брошь|brooch
брошюра|brochure
брусника|red bilberry
брутто ставка|gross premium
брутто, валовой|gross
брызги, обрызгивать|spray
брюки (ам.)|pants
брюки (бр.)|trousers
буддист|Buddhist
будил (от wake)|woke
будить, пробуждать|arouse
будить|awake
будоражить|flurry
будущее использование|dead use
будущий; ожидаемый, предстоящий|prospective
будущий|future
бук|beech
буквальное толкование|literal construction
буквальное толкование|verbal construction
букинист (ам.)|second-hand book dealer
букинист (бр.)|second-hand book seller
букировка груза|booking of cargo
буклет, проспект, брошюра|booklet
букмекер|bookmaker
буксировать, буксир|tow
буксировка|towage
булавка для галстука|clip for a tie
булавка, значок, прикалывать|pin
булочка|roll bun
бульвар|boulevard
бульдог|bulldog
бульон, суп|bouillon
бум, шумиха, быстро расти|boom
бумага для письма|letter paper
бумага|paper
бумажная валюта|paper currency
бумажные салфетки|tissues
бункер|bunker
бункеровка|bunkering
буржуазный|bourgeois
бурный|stormy
бутерброд с горячей сосиской|hot dog
бутик|boutique
бутылка|bottle
бутылки (от bottle)|bottles
буфер|buffer
буферы|buffers
буханка хлеба|loaf
буханка хлеба|loaf of bread
бухгалтер главный|chief accountant
бухгалтер|accountant
бухгалтер|book-keeper
бухгалтерия|accounts department
бухгалтерские документы|accounting records
бухгалтерские книги|books of account
бухгалтерский учет|accounting
бык|bull
был (от be)|was
были (от be)|were
быстрее (от quick)|quicker
быстрее|faster
быстро изнашивающий|quickwearing
быстро, скоро|quickly
быстро|promptly
быстро|rapidly
быстро|speedily
быстрореализуемые ценные бумаги|short-dated securities
быстрый, скорый|quick
быстрый, скорый|speedy
быстрый|rapid
быстрый|swift
быть в состоянии|be able to
быть в состоянии|to be able to
быть готовым|be ready
быть действительным|to be valid
быть довольным|be pleased
быть должным (за что-л.)|to owe
быть должным|owe
быть женатым, быть замужем|be married
быть заинтересованным|be interested
быть на пенсии|be retired
быть неженатым, быть не замужем|be single
быть огорченным, сожалеть|be sorry
быть, находиться, происходить|be
быть|be, was, were, been
бьющий, ударяющий (от strike)|striking
бюджет годовой|annual budget
бюджет текущий|operating budget
бюджет, смета финансовая|budget
бюджетные ассигнования|budgetary appropriations
бюджетные расходы|budgetary expenditures
бюллетень|bulletin
бюро администратора в гостинице|reception-desk
бюро записи актов гражданского состояния|registration office
бюро записи актов гражданского состояния|registry office
бюро находок|the lost and found
бюро похоронных процессий|funeral home
бюро, контора|bureau
бюрократия|bureaucracy
бюстгалтер|bra
в ... часов|at ... о clock
в арбитражном порядке|arbitrate решать
в большом количестве|in quantity
в деле|in re
в достаточной мере, соразмерно|adequately
в зависимости от обстоятельства|as the case may be
в зависимости от стоимости|ad valorem
в законодательном порядке|legislatively
в значительной степени|to a great extent
в конце концов|eventually
в конце концов|ultimately
в международном масштабе|internally
в местных масштабах|locally
в надлежащий срок|in due course
в наше время|nowadays
в основном|basically
в особенности|in particular
в помещении|indoors
в порядке меры пресечения|for safe custody
в правом углу|in the right-hand corner
в пределах компетенции|intra vires
в рабочем состоянии|serviceable
в силу закона|by act of law
в силу|under authority
в случае неплатежа|in default of payment
в случае отсутствия|failing
в случае, при|in case of
в стороне, отдельно|apart
в суде|at bar
в сущности, в действительности|in fact
в углу|in the corner
в финансовом отношении|financially
в хорошем состоянии|up to the mark
в целом|in complexu
в юридическом отношении|in legal contemplation
в, через,|in
вагон для курящих|smoking car
вагон для некурящих|non-smoker
вагон-ресторан|dining car
вагон-ресторан|dining-car
вакансии (от vacancy)|vacancies
вакансия, пустота|vacancy
вакуум, вакуумный|vacuum
валиться|topple
валлийский, уэльский|Welsh
валовая отгрузка|gross shipment
валовая рента|gross rent
валовой объем отечественной продукции|gross domestic product (GDP)
вальдшнеп|woodcock
валюта коллективная|collective currency
валюта неконвертируемая|inconvertible currency
валюта неустойчивая|unstable currency
валюта обесцененная|depreciated currency
валюта падающая|falling currency
валюта расчета|transactions currency
валюта, валютный|currency
валютное разрешение|exchange permit
валютные ограничения|currency restrictions
валютный курс рубля|rouble rate of exchange
вам бы лучше (you had better)|you'd better
ванна|bathtub
ванная комната|bath-room
ванная; туалет|bathroom
ванная|bath-tub
вареные яйца|boiled eggs
варить, кипятить|to boil
василек|corn-flower
вассал|vassal
ватерлиния|load line
ваш, ваши, твой, твои|yours
ваш, твой|your
введение права|precept of law
введение, вступление|introduction
введенный, ввел|fed
ввел в состав права|enacted into law
вверять|intrust
ввести в заблуждение|mislead, misled, misled
ввиду личной заинтересованности|on grounds of partiality
ввод в эксплуатацию|commissioning
ввод во владение|livery of seisin
ввод|input
ввод|inputting
ввод-вывод|I/O
ввод-вывод|input-output
вводит|introduces
вводить в заблуждение|mislead
вводить законодательство|enact legislation
вводить смертную казнь|institute capital punishment
вводная статья|preliminary article
вводы|inputs
вводящий в заблуждение, обманчивый|misleading
вдобавок|in addition
вдова|widow
вдовец|widower
вдовья часть наследства|equitable dower
вдовья часть наследства|jointure
вдовья часть наследства|legal jointure
вдохновение|inspiration
ведомость выгруженных грузов|out-turn report
ведомость работ|bill of work
ведущий прецедент|leading case
ведущий протоколы|keeping records
ведущий себя|behaving
ведьма|witch
веер, фен, болельщик|fan
везде, всюду|anywhere
везде, повсюду|everywhere
везти|drive, drove, driven
века|centuries
веки|eyelids
векселедатель|drawer of a bill
векселедержатель|noteholder
векселепредъявитель|bearer of a bill
вексель бланковый|blank bill
вексель домицилированный|domiciled bill
вексель дружеский|accommodation bill
вексель коммерческий|commercial bill
вексель на имя|bill in the name of
вексель на предъявителя|bearer bill
вексель на предъявителя|bill drawn  on  a  person
вексель на предъявителя|bill drawn on a person
вексель недокументированный|clean bill of exchange
вексель первоклассный|fine bill
вексель с передаточной надписью|endorsed bill
вексельный маклер|bill broker
вел протоколы|kept records
вел торговые книги|kept books
Великобритания|Great Britain
великодушие|generosity
великодушный|generous
великолепный|glorious
великолепный|magnificent
величественный|grand
величество|Majesty
величина|magnitude
велосипед|bike
вена|vein
венгерский|Hungarian
вентилятор|vent
вентилятор|ventilator
вера, верность, обещание|faith
вера, доверие|belief
вербальная нота|verbal note
вербовать, нанимать|recruit
вербовка в войска|levy of troops
вербовка|recruitment
вердикт|verdict
вереница, ряд, струна, связывать|string
верил, полагал (от believe)|believed
вернулся, возвращался|came back
вернулся|returned
вернуть|give back
вернуться|be back
вероломство|perfidy
вероятно, правдоподобный|likely
вероятно|probably
вероятность, возможность, правдоподобие|credibility
вероятность|likelihood
вероятность|probability
вероятный|probable
версия|version
вертикальный|vertical
вертолет|helicopter
верфь, причал, пристань|wharf
верфь|shipyard
верхний|upper
верхняя палуба|upper deck
верхняя полка|upper berth
верховенство права|supremance of law
верховный|supreme
верхушка, вершина|apex
вершина|summit
вес брутто|gross weight
вес выгруженный|landed weight
вес до отгрузки|preshipment weight
вес контрольный|check weight
вес фактический|actual weight
вес, тяжесть, груз|weight
веселый, радостный|merry
веселый|gay
весной|in spring
весовщик|weigher
вести дело|run a business
вести протокол|take minutes
вести себя|behave
вести судебное дело|conduct a case
вести торговые книги|keep books
вести учет|keep records
вести|lead, led, led
Вестминстерское аббатство|Westminster Abbey
весы (бр.)|scales
весь свод законодательства|whole corpus of legislation
ветеран|veteran
вето|veto
ветреный|windy
ветровка (ам.)|windbreaker
ветровка (бр.)|windcheater
ветровое стекло (ам.)|windshield
вечер|evening
вечеринка на борту теплохода|party on board
вечерние спектакли|evenings
вечный|eternal
вешалки, плечики (от hanger)|hangers
вешать|hang, hung, hung
вещевой ящик|glove-compartment
вещества|substances
вещественные доказательства|material evidence
вещество, набивать|stuff
вещное право арендатора|leasehold estate
вещное право|law of things
вещное право|right in rem
вещный иск|action in rem
вещный иск|real action
вещный иск|suit in rem
вещь|res
взaимодействует|communicates
взaимозaменяемый|interchangeable
взаимная выгода|mutual advantage
взаимная помощь|mutual aid
взаимно|mutually
взаимное завещание|reciprocal will
взаимные условия|concurrent conditions
взаимный, общий|mutual
взаимодействие, взаимосвязь|interaction
взаимодействовал|interacted
взаимодействовать|interact
взаимозависимость|interdependence
взаимозависимый|interdependent
взаимозаменяемость|fungibility
взаимосвязи|interactions
взаимосвязь|interface
взбалтывать яйца для глазуньи|scrambled
взбитые сливки|whipped cream
взвешивать, весить|weigh
вздор, нелепость|rot
вздор|fiddlesticks
взимать (налог)|levy
взимать налоги|collect taxes
взимать пошлины|exact duties
взлетать|to take off
взлетная полоса|runway
взнос арбитражный|arbitration fee
взнос в бюджет|contribution to the budget
взнос денежный|cash deposit
взорваться|burst, burst, burst
взрослые (от adult)|adults
взрослый|adult
взрыв, взрывать, разрушать|blast
взрыв, вспышка|explosion
взрыв|outbreak
взрывать, подрывать|explode
взрывчатое вещество, вспыльчивый|explosive
взывать, просить, апелляция|appeal
взымать почтовый сбор|to collect postage
взыскание на имущество|claim to property
взыскание пени|exaction of fine
взыскание пошлин|collection of duties
взыскание ссуды|collection of a loan
взыскание штрафа|exaction of a penalty
взыскание|exaction
взыскано|fieri feci
взыскивать убытки|recover damages
взятие под стражу в конце недели|week-end detention
взятка, давать взятку|bribe
взятка|golden key
взяткодатель|briber
взяткодатель|giver of bribe
взяточничество|bribery
взятые сверх (о деньгах)|overcharged
взятый в лизинг, арендованный|leasehold
взятый, погруженный|intaken
взять обратно|recapture
вид, аспект, точка зрения|aspect
видел, смотрел (от see)|saw
видео для дома|VHS
видео кассета|video cassette
видео|video
видеомагнитофон|VCR
